,FRA,FRA
hours,wind (won),solar (solEB)
1074,0.269085366,0.052613636
1075,0.252865854,0.004090909
1076,0.238780488,0
1077,0.234146341,0
1078,0.228902439,0
1079,0.217134146,0
1080,0.206219512,0
1081,0.207012195,0
1082,0.2025,0
1083,0.192317073,0
1084,0.179878049,0
1085,0.174573171,0
1086,0.164573171,0
1087,0.155426829,0
1088,0.153414634,0
1089,0.135914634,0.009204545
1090,0.128109756,0.082613636
1091,0.110670732,0.185795455
1092,0.103597561,0.281022727
1093,0.095243902,0.326590909
1094,0.094939024,0.339204545
1095,0.102012195,0.308409091
1096,0.102012195,0.264886364
1097,0.093719512,0.191590909
1098,0.081402439,0.080340909
1099,0.069817073,0.005795455
1100,0.061158537,0
1101,0.059390244,0
1102,0.058231707,0
1103,0.05195122,0
1104,0.048109756,0
1105,0.041646341,0
1106,0.038719512,0
1107,0.035121951,0
